Rang,Athlète,Club,Total,CaP1,#1,Vélo,Vélo Cum.,#2,CaP2,U23,A.S.,Event,Race,Gap to 1st Total (s),Gap to 1st CaP1 (s),Gap to 1st Vélo (s),Gap to 1st Vélo Cum. (s),Gap to 1st CaP2 (s),Score Total,Score CaP1,Score Vélo,Score Vélo Cum.,Score CaP2,Gap to 1st CaP1 (s/km),Gap to 1st Vélo (s/km),Gap to 1st CaP2 (s/km),Gap to 1st Total (s/km),year,T1,T2
17.,RACHEL ELISABETH BROWN,LYS CALAIS TRIATHLON,0 days 01:02:35,0 days 00:17:50,00:00:42,0 days 00:33:46,0 days 00:52:17,00:00:33,0 days 00:09:45,,,parthenay,D1F,116.0,48.0,36.0,60.0,53.0,9691.078561917444,9551.401869158879,9822.309970384995,9808.734459674848,9094.017094017094,9.6,1.8,21.2,4.22,2023,,
18.,MARION GAY PAGEON,LES TRITONS MELDOIS,0 days 01:03:06,0 days 00:17:58,00:00:51,0 days 00:34:20,0 days 00:53:08,00:00:26,0 days 00:09:32,,,parthenay,D1F,147.0,56.0,70.0,111.0,40.0,9611.727416798733,9480.51948051948,9660.194174757282,9651.819322459221,9300.699300699302,11.2,3.5,16.0,5.35,2023,,
19.,CAMILLE LE GUEN,PONTIVY TRIATHLON,0 days 01:03:07,0 days 00:17:57,00:00:50,0 days 00:34:29,0 days 00:53:16,00:00:29,0 days 00:09:23,,,parthenay,D1F,148.0,55.0,79.0,119.0,31.0,9609.189331925007,9489.322191272051,9618.173030449492,9627.659574468085,9449.378330373002,11.0,3.95,12.4,5.38,2023,,
20.,CHARLOTTE BERTHELOT,ASPTT STRASBOURG TRI,0 days 01:03:09,0 days 00:18:05,00:00:41,0 days 00:34:27,0 days 00:53:11,00:00:29,0 days 00:09:29,,,parthenay,D1F,150.0,63.0,77.0,114.0,37.0,9604.117181314332,9419.354838709676,9627.479438800194,9642.745220933875,9349.736379613358,12.6,3.85,14.8,5.45,2023,,
21.,LAURA VALLOIS,COTE D OPALE TRIATHLON CALAIS SAINT-OMER,0 days 01:03:10,0 days 00:18:11,00:00:43,0 days 00:34:21,0 days 00:53:14,00:00:28,0 days 00:09:30,,,parthenay,D1F,151.0,69.0,71.0,117.0,38.0,9601.583113456465,9367.55270394134,9655.5070354197,9633.688165309955,9333.333333333334,13.8,3.55,15.2,5.49,2023,,
22.,CLARA JOBBIN,MSA TRIATHLON,0 days 01:03:14,0 days 00:18:07,00:00:42,0 days 00:34:25,0 days 00:53:14,00:00:28,0 days 00:09:33,U23,,parthenay,D1F,155.0,65.0,75.0,117.0,41.0,9591.460200316289,9402.023919043238,9636.80387409201,9633.688165309955,9284.467713787086,13.0,3.75,16.4,5.64,2023,,
23.,CAPUCINE ROLIN,COTE D OPALE TRIATHLON CALAIS SAINT-OMER,0 days 01:03:16,0 days 00:18:20,00:00:38,0 days 00:34:10,0 days 00:53:07,00:00:25,0 days 00:09:44,U23,,parthenay,D1F,157.0,78.0,60.0,110.0,52.0,9586.40674394099,9290.90909090909,9707.317073170732,9654.847819265768,9109.589041095891,15.6,3.0,20.8,5.71,2023,,
24.,MAYA HEBRARD,LA GRANDE MOTTE TRIATHLON,0 days 01:03:22,0 days 00:18:13,00:00:40,0 days 00:34:23,0 days 00:53:14,00:00:26,0 days 00:09:42,U23,,parthenay,D1F,163.0,71.0,73.0,117.0,50.0,9571.27827459232,9350.411710887465,9646.146388754241,9633.688165309955,9140.893470790377,14.2,3.65,20.0,5.93,2023,,
25.,SABRINA MONMARTEAU,ASPTT 36 SPORTS NATURE,0 days 01:03:24,0 days 00:18:06,00:00:40,0 days 00:34:31,0 days 00:53:17,00:00:32,0 days 00:09:37,,,parthenay,D1F,165.0,64.0,81.0,120.0,45.0,9566.246056782335,9410.681399631676,9608.884596813134,9624.648107600877,9220.103986135182,12.8,4.05,18.0,6.0,2023,,
26.,JOSEPHINE DELVINCOURT,LYS CALAIS TRIATHLON,0 days 01:03:28,0 days 00:18:38,00:00:42,0 days 00:33:54,0 days 00:53:13,00:00:30,0 days 00:09:46,,,parthenay,D1F,169.0,96.0,44.0,116.0,54.0,9556.197478991597,9141.323792486583,9783.677482792527,9636.705292828061,9078.498293515358,19.2,2.2,21.6,6.15,2023,,
27.,JEANNE BARREAU,MSA TRIATHLON,0 days 01:03:29,0 days 00:18:39,00:00:41,0 days 00:33:53,0 days 00:53:12,00:00:25,0 days 00:09:53,U23,,parthenay,D1F,170.0,97.0,43.0,115.0,61.0,9553.688632186926,9133.154602323504,9788.489916379734,9639.724310776943,8971.33220910624,19.4,2.15,24.4,6.18,2023,,
28.,DELPHINE GAUDRY,H.A.C. TRIATHLON,0 days 01:03:37,0 days 00:18:23,00:00:45,0 days 00:34:09,0 days 00:53:15,00:00:29,0 days 00:09:54,,,parthenay,D1F,178.0,81.0,59.0,118.0,62.0,9533.665182080167,9265.639165911152,9712.05466081015,9630.672926447574,8956.228956228957,16.2,2.95,24.8,6.47,2023,,
29.,ENORA OGER,RENNES TRIATHLON,0 days 01:03:52,0 days 00:18:39,00:00:43,0 days 00:33:50,0 days 00:53:11,00:00:30,0 days 00:10:12,,,parthenay,D1F,193.0,97.0,40.0,114.0,80.0,9496.346555323591,9133.154602323504,9802.95566502463,9642.745220933875,8692.81045751634,19.4,2.0,32.0,7.02,2023,,
