Rang,Athlète,Club,Total,CaP1,#1,Vélo,Vélo Cum.,#2,CaP2,U23,A.S.,Event,Race,Gap to 1st Total (s),Gap to 1st CaP1 (s),Gap to 1st Vélo (s),Gap to 1st Vélo Cum. (s),Gap to 1st CaP2 (s),Score Total,Score CaP1,Score Vélo,Score Vélo Cum.,Score CaP2,Gap to 1st CaP1 (s/km),Gap to 1st Vélo (s/km),Gap to 1st CaP2 (s/km),Gap to 1st Total (s/km),year,T1,T2
60.,ANNE SOPHIE CHARBIN,BOURG EN BRESSE TRIATHLON,0 days 01:12:45,0 days 00:22:59,00:00:52,0 days 00:36:16,0 days 01:00:07,00:00:50,0 days 00:11:49,,,noyon,D2F,801.0,347.0,289.0,641.0,192.0,8164.948453608247,7483.683828861494,8671.875,8222.899916828388,7291.960507757404,69.4,14.45,76.8,29.13,2023,,
61.,JULIE BOTTRAS,LE MANS TRIATHLON,0 days 01:12:49,0 days 00:22:12,00:00:55,0 days 00:37:16,0 days 01:00:22,00:00:53,0 days 00:11:35,U23,,noyon,D2F,805.0,300.0,349.0,656.0,178.0,8157.473105973907,7747.747747747748,8439.1771019678,8188.845941468802,7438.848920863309,60.0,17.45,71.2,29.27,2023,,
62.,CELIA BRUN,RED STAR CLUB CHAMPIGNY,0 days 01:12:55,0 days 00:22:58,00:01:07,0 days 00:36:19,0 days 01:00:23,00:01:18,0 days 00:11:15,,,noyon,D2F,811.0,346.0,292.0,657.0,158.0,8146.285714285715,7489.11465892598,8659.935750344193,8186.585702456528,7659.259259259259,69.2,14.6,63.2,29.49,2023,,
63.,LUCIE LEGENDRE,CLERMONT TRIATHLON,0 days 01:13:02,0 days 00:22:58,00:00:55,0 days 00:36:53,0 days 01:00:45,00:00:52,0 days 00:11:26,U23,*,noyon,D2F,818.0,346.0,326.0,679.0,169.0,8133.272478320401,7489.11465892598,8526.886579304111,8137.174211248284,7536.443148688047,69.2,16.3,67.6,29.75,2023,,
64.,EMIE GALLET,BOURG EN BRESSE TRIATHLON,0 days 01:13:37,0 days 00:22:59,00:00:53,0 days 00:37:28,0 days 01:01:20,00:00:57,0 days 00:11:20,U23,,noyon,D2F,853.0,347.0,361.0,714.0,163.0,8068.824994340051,7483.683828861494,8394.128113879004,8059.782608695653,7602.941176470588,69.4,18.05,65.2,31.02,2023,,
65.,NEDJMA KONTOUKAS,MONTPELLIER TRIATHLON,0 days 01:20:34,0 days 00:24:39,00:01:01,0 days 00:40:45,0 days 01:06:24,00:01:11,0 days 00:13:00,,,noyon,D2F,1270.0,447.0,558.0,1018.0,263.0,7372.776168804303,6977.687626774848,7717.791411042945,7444.779116465864,6628.205128205128,89.4,27.9,105.2,46.18,2023,,
66.,ANGELIQUE CLEMENTZ,SALON TRIATHLON,0 days 01:22:22,0 days 00:24:00,00:01:29,0 days 00:42:01,0 days 01:07:30,00:01:44,0 days 00:13:09,,,noyon,D2F,1378.0,408.0,634.0,1084.0,272.0,7211.655200323756,7166.666666666667,7485.124950416502,7323.456790123457,6552.598225602028,81.6,31.7,108.8,50.11,2023,,
67.,SYLVIE MARC,SALON TRIATHLON,0 days 01:23:12,0 days 00:24:10,00:01:37,0 days 00:42:53,0 days 01:08:40,00:01:47,0 days 00:12:46,,,noyon,D2F,1428.0,418.0,686.0,1154.0,249.0,7139.423076923077,7117.241379310345,7333.851535172949,7199.029126213592,6749.34725848564,83.6,34.3,99.6,51.93,2023,,
1.,FIONA CORNET,MONTPELLIER TRIATHLON,0 days 01:06:53,0 days 00:16:56,00:00:52,0 days 00:37:29,0 days 00:55:15,00:01:34,0 days 00:10:04,,,avallon,D2F,0.0,1.0,0.0,0.0,25.0,10000.0,9990.157480314962,10000.0,10000.0,9586.092715231787,0.2,0.0,10.0,0.0,2023,,
2.,JULIETTE DELAGARDE,LA ROCHELLE TRIATHLON,0 days 01:10:00,0 days 00:18:16,00:00:52,0 days 00:40:03,0 days 00:59:10,00:01:01,0 days 00:09:50,U23,,avallon,D2F,187.0,81.0,154.0,235.0,11.0,9554.761904761905,9260.94890510949,9359.13441531419,9338.028169014084,9813.559322033898,16.2,7.7,4.4,6.8,2023,,
3.,CAMILLE ROMAN,TRIATHLON CLUB CHATEAUROUX METROPOLE 36,0 days 01:10:14,0 days 00:18:00,00:00:57,0 days 00:40:17,0 days 00:59:13,00:01:10,0 days 00:09:51,U23,,avallon,D2F,201.0,65.0,168.0,238.0,12.0,9523.018509729472,9398.148148148148,9304.923458833264,9330.143540669857,9796.954314720813,13.0,8.4,4.8,7.31,2023,,
4.,ELENA ECKER,TRIATHLON CLUB CHATEAUROUX METROPOLE 36,0 days 01:10:24,0 days 00:18:09,00:00:59,0 days 00:40:06,0 days 00:59:12,00:01:11,0 days 00:10:02,U23,,avallon,D2F,211.0,74.0,157.0,237.0,23.0,9500.473484848486,9320.477502295684,9347.464671654197,9332.77027027027,9617.940199335548,14.8,7.85,9.2,7.67,2023,,
5.,PAULINE LELAIT,PARIS SPORT CLUB,0 days 01:10:25,0 days 00:18:09,00:00:52,0 days 00:40:14,0 days 00:59:14,00:01:10,0 days 00:10:02,,,avallon,D2F,212.0,74.0,165.0,239.0,23.0,9498.224852071005,9320.477502295684,9316.487158243579,9327.518289251548,9617.940199335548,14.8,8.25,9.2,7.71,2023,,
6.,LAURIE DELAFOSSE,CAEN TRIATHLON,0 days 01:10:39,0 days 00:18:16,00:00:54,0 days 00:40:09,0 days 00:59:17,00:01:10,0 days 00:10:13,U23,,avallon,D2F,226.0,81.0,160.0,242.0,34.0,9466.85539042227,9260.94890510949,9335.823993358239,9319.651391622154,9445.350734094616,16.2,8.0,13.6,8.22,2023,,
7.,AUDREY ANGIBAUD,LA ROCHELLE TRIATHLON,0 days 01:10:44,0 days 00:18:30,00:00:55,0 days 00:39:55,0 days 00:59:19,00:01:08,0 days 00:10:18,,,avallon,D2F,231.0,95.0,146.0,244.0,39.0,9455.702167766258,9144.144144144144,9390.396659707725,9314.41416128126,9368.932038834952,19.0,7.3,15.6,8.4,2023,,
8.,LILOU SEVERE,METZ TRIATHLON,0 days 01:10:54,0 days 00:18:16,00:00:55,0 days 00:40:08,0 days 00:59:18,00:01:08,0 days 00:10:29,,,avallon,D2F,241.0,81.0,159.0,243.0,50.0,9433.474377056888,9260.94890510949,9339.70099667774,9317.032040472175,9205.087440381558,16.2,7.95,20.0,8.76,2023,,
9.,IZIA DUTERRAGE,SAINT AVERTIN SPORTS TRIATHLON 37,0 days 01:11:00,0 days 00:18:31,00:00:58,0 days 00:39:54,0 days 00:59:22,00:01:13,0 days 00:10:27,,,avallon,D2F,247.0,96.0,145.0,247.0,48.0,9420.18779342723,9135.913591359136,9394.319131161235,9306.569343065694,9234.44976076555,19.2,7.25,19.2,8.98,2023,,
10.,LAURA BONTEMPS,METROPOLE GRAND NANCY TRIATHLON,0 days 01:11:02,0 days 00:18:18,00:00:53,0 days 00:40:06,0 days 00:59:16,00:01:09,0 days 00:10:39,U23,,avallon,D2F,249.0,83.0,157.0,241.0,60.0,9415.767245424684,9244.08014571949,9347.464671654197,9322.272215973004,9061.032863849765,16.6,7.85,24.0,9.05,2023,,
11.,AGATHE CLAUDE,METZ TRIATHLON,0 days 01:11:15,0 days 00:18:31,00:00:53,0 days 00:39:53,0 days 00:59:17,00:01:06,0 days 00:10:53,,,avallon,D2F,262.0,96.0,144.0,242.0,74.0,9387.134502923976,9135.913591359136,9398.244880902634,9319.651391622154,8866.76875957121,19.2,7.2,29.6,9.53,2023,,
12.,JESSICA LEROUX,LA ROCHELLE TRIATHLON,0 days 01:11:16,0 days 00:18:30,00:00:55,0 days 00:40:29,0 days 00:59:53,00:01:09,0 days 00:10:15,,,avallon,D2F,263.0,95.0,180.0,278.0,36.0,9384.939195509824,9144.144144144144,9258.954302181968,9226.273309212358,9414.634146341463,19.0,9.0,14.4,9.56,2023,,
13.,CELINE ROBIN,SAINT AVERTIN SPORTS TRIATHLON 37,0 days 01:11:22,0 days 00:18:28,00:00:57,0 days 00:40:17,0 days 00:59:41,00:01:14,0 days 00:10:28,,,avallon,D2F,269.0,93.0,168.0,266.0,49.0,9371.788883699206,9160.649819494585,9304.923458833264,9257.19072884669,9219.745222929936,18.6,8.4,19.6,9.78,2023,,
14.,LEANE BLANCHARD,VERSAILLES TRIATHLON,0 days 01:11:31,0 days 00:19:21,00:00:55,0 days 00:38:58,0 days 00:59:13,00:01:07,0 days 00:11:12,U23,,avallon,D2F,278.0,146.0,89.0,238.0,93.0,9352.132370076906,8742.463393626183,9619.332763045337,9330.143540669857,8616.07142857143,29.2,4.45,37.2,10.11,2023,,
15.,MANON JACOB,RED STAR CLUB CHAMPIGNY,0 days 01:11:55,0 days 00:18:17,00:00:56,0 days 00:41:14,0 days 01:00:27,00:01:05,0 days 00:10:25,,,avallon,D2F,302.0,82.0,225.0,312.0,46.0,9300.115874855155,9252.506836827712,9090.541632983024,9139.78494623656,9264.0,16.4,11.25,18.4,10.98,2023,,
16.,MARION REMILLY,CAEN TRIATHLON,0 days 01:12:07,0 days 00:18:45,00:01:09,0 days 00:39:27,0 days 00:59:20,00:01:17,0 days 00:11:30,,,avallon,D2F,314.0,110.0,118.0,245.0,111.0,9274.324012017563,9022.222222222223,9501.478664976763,9311.797752808989,8391.304347826088,22.0,5.9,44.4,11.42,2023,,
17.,OLYMPE RODRIGUEZ,MONTPELLIER TRIATHLON,0 days 01:12:26,0 days 00:19:17,00:01:01,0 days 00:39:42,0 days 00:59:59,00:01:28,0 days 00:11:00,,,avallon,D2F,333.0,142.0,133.0,284.0,81.0,9233.778186838472,8772.687986171133,9441.645675902602,9210.891914420672,8772.727272727274,28.4,6.65,32.4,12.11,2023,,
18.,ASTRID TARDY,VERSAILLES TRIATHLON,0 days 01:12:49,0 days 00:19:11,00:00:55,0 days 00:40:16,0 days 01:00:21,00:01:11,0 days 00:11:18,,,avallon,D2F,356.0,136.0,167.0,306.0,99.0,9185.16823071641,8818.418766290182,9308.774834437087,9154.929577464789,8539.823008849557,27.2,8.35,39.6,12.95,2023,,
19.,MADELEINE VIOT,LE MANS TRIATHLON,0 days 01:13:00,0 days 00:18:41,00:01:01,0 days 00:41:21,0 days 01:01:02,00:01:08,0 days 00:10:51,,,avallon,D2F,367.0,106.0,232.0,347.0,72.0,9162.100456621005,9054.415700267618,9064.893188230551,9052.430365920261,8894.009216589862,21.2,11.6,28.8,13.35,2023,,
20.,JADE CUNEY,METZ TRIATHLON,0 days 01:13:04,0 days 00:18:43,00:00:58,0 days 00:41:23,0 days 01:01:02,00:01:07,0 days 00:10:56,,,avallon,D2F,371.0,108.0,234.0,347.0,77.0,9153.740875912408,9038.290293855744,9057.59162303665,9052.430365920261,8826.21951219512,21.6,11.7,30.8,13.49,2023,,
21.,ESTELLE FEDLAOUI,CLERMONT TRIATHLON,0 days 01:13:18,0 days 00:18:16,00:01:01,0 days 00:41:53,0 days 01:01:09,00:01:21,0 days 00:10:49,,,avallon,D2F,385.0,81.0,264.0,354.0,70.0,9124.602091859937,9260.94890510949,8949.462793473936,9035.15944399019,8921.417565485363,16.2,13.2,28.0,14.0,2023,,
22.,SOLENE QUENOT,SALON TRIATHLON,0 days 01:13:24,0 days 00:19:14,00:01:24,0 days 00:40:29,0 days 01:01:07,00:01:28,0 days 00:10:50,,,avallon,D2F,391.0,139.0,180.0,352.0,71.0,9112.170753860128,8795.493934142114,9258.954302181968,9040.08726479411,8907.692307692307,27.8,9.0,28.4,14.22,2023,,
23.,ADELINE BEAUCHET,LA ROCHELLE TRIATHLON,0 days 01:13:36,0 days 00:19:15,00:01:00,0 days 00:40:52,0 days 01:01:07,00:01:11,0 days 00:11:19,,,avallon,D2F,403.0,140.0,203.0,352.0,100.0,9087.409420289854,8787.878787878788,9172.1044045677,9040.08726479411,8527.245949926362,28.0,10.15,40.0,14.65,2023,,
24.,LOANE GERGEN,METZ TRIATHLON,0 days 01:13:40,0 days 00:18:30,00:00:54,0 days 00:42:13,0 days 01:01:36,00:01:07,0 days 00:10:57,,,avallon,D2F,407.0,95.0,284.0,381.0,78.0,9079.18552036199,9144.144144144144,8878.799842084485,8969.155844155845,8812.785388127853,19.0,14.2,31.2,14.8,2023,,
25.,LAURINE AVINIO,SAINTES TRIATHLON,0 days 01:13:44,0 days 00:18:19,00:00:57,0 days 00:42:50,0 days 01:02:04,00:01:09,0 days 00:10:32,U23,,avallon,D2F,411.0,84.0,321.0,409.0,53.0,9070.976491862568,9235.668789808917,8750.972762645915,8901.71858216971,9161.39240506329,16.8,16.05,21.2,14.95,2023,,
26.,AURORE GUERIN,CAEN TRIATHLON,0 days 01:13:49,0 days 00:16:55,00:00:59,0 days 00:45:01,0 days 01:02:54,00:01:17,0 days 00:09:39,,,avallon,D2F,416.0,0.0,452.0,459.0,0.0,9060.736057800857,10000.0,8326.545723805999,8783.783783783783,10000.0,0.0,22.6,0.0,15.13,2023,,
27.,ALEXIA VALLE,METROPOLE GRAND NANCY TRIATHLON,0 days 01:14:17,0 days 00:18:38,00:00:55,0 days 00:42:50,0 days 01:02:23,00:01:12,0 days 00:10:43,U23,,avallon,D2F,444.0,103.0,321.0,428.0,64.0,9003.814224814898,9078.71198568873,8750.972762645915,8856.532193427733,9004.665629860032,20.6,16.05,25.6,16.15,2023,,
28.,CHLOE VERTALDI,PARIS SPORT CLUB,0 days 01:14:36,0 days 00:19:53,00:01:05,0 days 00:41:00,0 days 01:01:58,00:01:09,0 days 00:11:30,,,avallon,D2F,463.0,178.0,211.0,403.0,111.0,8965.594280607686,8507.963118189438,9142.276422764227,8916.083916083915,8391.304347826088,35.6,10.55,44.4,16.84,2023,,
29.,ELSA CANTEROT,LE MANS TRIATHLON,0 days 01:14:52,0 days 00:18:55,00:01:03,0 days 00:42:46,0 days 01:02:42,00:01:11,0 days 00:10:59,,,avallon,D2F,479.0,120.0,317.0,447.0,80.0,8933.659839715048,8942.73127753304,8764.614185502729,8811.802232854863,8786.039453717754,24.0,15.85,32.0,17.42,2023,,
30.,AMANDINE PIQUET,TRIATHLON CLUB CHATEAUROUX METROPOLE 36,0 days 01:15:01,0 days 00:18:33,00:01:03,0 days 00:43:59,0 days 01:03:34,00:01:10,0 days 00:10:17,,,avallon,D2F,488.0,98.0,390.0,499.0,38.0,8915.796489668963,9119.496855345913,8522.167487684728,8691.662296801258,9384.116693679092,19.6,19.5,15.2,17.75,2023,,
31.,LEA DIEMER,LA ROCHELLE TRIATHLON,0 days 01:15:09,0 days 00:18:30,00:00:57,0 days 00:43:40,0 days 01:03:06,00:01:11,0 days 00:10:53,,,avallon,D2F,496.0,95.0,371.0,471.0,74.0,8899.977822133511,9144.144144144144,8583.969465648855,8755.94294770206,8866.76875957121,19.0,18.55,29.6,18.04,2023,,
32.,FLORINE PERRIN,MONTPELLIER TRIATHLON,0 days 01:15:13,0 days 00:19:54,00:00:57,0 days 00:41:29,0 days 01:02:19,00:01:12,0 days 00:11:43,U23,,avallon,D2F,500.0,179.0,240.0,424.0,124.0,8892.089519166851,8500.837520938025,9035.757332261952,8866.006953730945,8236.130867709815,35.8,12.0,49.6,18.18,2023,,
33.,ARIELLE ZOELLIN JILLIOT,PARIS SPORT CLUB,0 days 01:15:21,0 days 00:18:40,00:00:57,0 days 00:43:51,0 days 01:03:27,00:01:17,0 days 00:10:38,,,avallon,D2F,508.0,105.0,382.0,492.0,59.0,8876.354788763547,9062.5,8548.0805777271,8707.643814026793,9075.235109717869,21.0,19.1,23.6,18.47,2023,,
34.,MANON LEQUET,SAINTES TRIATHLON,0 days 01:15:29,0 days 00:19:54,00:00:56,0 days 00:41:31,0 days 01:02:21,00:01:11,0 days 00:11:58,U23,,avallon,D2F,516.0,179.0,242.0,426.0,139.0,8860.675645837933,8500.837520938025,9028.502609393818,8861.267040898156,8064.066852367689,35.8,12.1,55.6,18.76,2023,,
35.,AMELIE BEYNEL,CLERMONT TRIATHLON,0 days 01:16:20,0 days 00:19:38,00:01:01,0 days 00:43:01,0 days 01:03:39,00:01:15,0 days 00:11:26,U23,,avallon,D2F,567.0,163.0,332.0,504.0,107.0,8762.008733624454,8616.298811544992,8713.676869430454,8680.282796543597,8440.233236151604,32.6,16.6,42.8,20.62,2023,,
36.,MARION VIET,LE MANS TRIATHLON,0 days 01:16:22,0 days 00:19:32,00:00:57,0 days 00:43:16,0 days 01:03:43,00:01:12,0 days 00:11:27,U23,,avallon,D2F,569.0,157.0,347.0,508.0,108.0,8758.18419903972,8660.409556313993,8663.328197226501,8671.200627779232,8427.947598253275,31.4,17.35,43.2,20.69,2023,,
37.,LISA CHARRON,TRIATHLON CLUB CHATEAUROUX METROPOLE 36,0 days 01:16:24,0 days 00:19:32,00:01:02,0 days 00:44:08,0 days 01:04:42,00:01:14,0 days 00:10:29,,*,avallon,D2F,571.0,157.0,399.0,567.0,50.0,8754.363001745201,8660.409556313993,8493.20241691843,8539.412673879444,9205.087440381558,31.4,19.95,20.0,20.76,2023,,
38.,LINDA COLLET,LE MANS TRIATHLON,0 days 01:16:32,0 days 00:19:52,00:01:02,0 days 00:42:50,0 days 01:03:44,00:01:13,0 days 00:11:37,,,avallon,D2F,579.0,177.0,321.0,509.0,118.0,8739.11149825784,8515.100671140939,8750.972762645915,8668.933054393305,8307.03012912482,35.4,16.05,47.2,21.05,2023,,
39.,LUCIE LAUNEY,BOURG EN BRESSE TRIATHLON,0 days 01:16:37,0 days 00:19:42,00:01:13,0 days 00:43:02,0 days 01:03:57,00:01:24,0 days 00:11:18,U23,,avallon,D2F,584.0,167.0,333.0,522.0,99.0,8729.606264955406,8587.140439932318,8710.302091402013,8639.562157935887,8539.823008849557,33.4,16.65,39.6,21.24,2023,,
40.,AGATHE PERU,CAEN TRIATHLON,0 days 01:16:47,0 days 00:19:55,00:01:01,0 days 00:42:47,0 days 01:03:41,00:01:18,0 days 00:11:49,U23,,avallon,D2F,594.0,180.0,318.0,506.0,130.0,8710.657694812242,8493.723849372385,8761.19984417608,8675.73933525255,8166.4315937940755,36.0,15.9,52.0,21.6,2023,,
41.,VIRGINIE JACQUINOT,LE MANS TRIATHLON,0 days 01:17:25,0 days 00:19:52,00:01:01,0 days 00:43:47,0 days 01:04:39,00:01:13,0 days 00:11:34,,,avallon,D2F,632.0,177.0,378.0,564.0,115.0,8639.397201291711,8515.100671140939,8561.09630757518,8546.01701469451,8342.939481268011,35.4,18.9,46.0,22.98,2023,,
42.,JULIETTE FASSENET,BOURG EN BRESSE TRIATHLON,0 days 01:17:27,0 days 00:19:22,00:01:05,0 days 00:43:52,0 days 01:04:19,00:01:35,0 days 00:11:34,U23,,avallon,D2F,634.0,147.0,383.0,544.0,115.0,8635.678932644718,8734.939759036144,8544.83282674772,8590.308370044053,8342.939481268011,29.4,19.15,46.0,23.05,2023,,
43.,CASSANDRE BRONDEAU,LA ROCHELLE TRIATHLON,0 days 01:17:37,0 days 00:19:54,00:00:58,0 days 00:44:39,0 days 01:05:30,00:01:08,0 days 00:11:00,,*,avallon,D2F,644.0,179.0,430.0,615.0,81.0,8617.135494953833,8500.837520938025,8394.923478910041,8435.114503816794,8772.727272727274,35.8,21.5,32.4,23.42,2023,,
44.,MARIE BRIOTET,CLERMONT TRIATHLON,0 days 01:18:17,0 days 00:20:45,00:01:03,0 days 00:43:38,0 days 01:05:25,00:01:15,0 days 00:11:37,U23,,avallon,D2F,684.0,230.0,369.0,610.0,118.0,8543.751330636576,8152.610441767069,8590.527119938884,8445.859872611465,8307.03012912482,46.0,18.45,47.2,24.87,2023,,
45.,ALICE FOUGERE,SAINTES TRIATHLON,0 days 01:18:18,0 days 00:19:43,00:01:04,0 days 00:45:13,0 days 01:05:59,00:01:13,0 days 00:11:07,,,avallon,D2F,685.0,168.0,464.0,644.0,88.0,8541.932737335037,8579.881656804735,8289.71618134906,8373.326597625663,8680.659670164918,33.6,23.2,35.2,24.91,2023,,
46.,BEATRICE GAUTRON,TRIATHLON CLUB CHATEAUROUX METROPOLE 36,0 days 01:18:39,0 days 00:18:57,00:01:03,0 days 00:46:20,0 days 01:06:19,00:01:23,0 days 00:10:58,,,avallon,D2F,706.0,122.0,531.0,664.0,79.0,8503.92032210214,8927.000879507475,8089.928057553957,8331.239004775069,8799.392097264437,24.4,26.55,31.6,25.67,2023,,
47.,ANAIS DURAND,MONTPELLIER TRIATHLON,0 days 01:18:45,0 days 00:21:58,00:01:00,0 days 00:41:50,0 days 01:04:47,00:01:18,0 days 00:12:40,,*,avallon,D2F,712.0,303.0,261.0,572.0,181.0,8493.121693121693,7701.062215477998,8960.1593625498,8528.428093645485,7618.421052631579,60.6,13.05,72.4,25.89,2023,,
48.,CAMILLE GARREL,MONTPELLIER TRIATHLON,0 days 01:19:13,0 days 00:20:00,00:01:03,0 days 00:45:18,0 days 01:06:20,00:01:18,0 days 00:11:36,,,avallon,D2F,740.0,185.0,469.0,665.0,117.0,8443.08857563644,8458.333333333334,8274.466519499632,8329.145728643216,8318.965517241379,37.0,23.45,46.8,26.91,2023,,
49.,JULIETTE FREY,SAINT AVERTIN SPORTS TRIATHLON 37,0 days 01:19:16,0 days 00:20:04,00:01:07,0 days 00:44:10,0 days 01:05:21,00:01:42,0 days 00:12:14,U23,,avallon,D2F,743.0,189.0,401.0,606.0,155.0,8437.762825904121,8430.232558139536,8486.792452830188,8454.475899005356,7888.283378746594,37.8,20.05,62.0,27.02,2023,,
50.,GABRIELLE BEC,VERSAILLES TRIATHLON,0 days 01:19:24,0 days 00:19:35,00:01:15,0 days 00:45:48,0 days 01:06:38,00:01:28,0 days 00:11:19,,,avallon,D2F,751.0,160.0,499.0,683.0,100.0,8423.593618807725,8638.297872340427,8184.133915574964,8291.645822911456,8527.245949926362,32.0,24.95,40.0,27.31,2023,,
51.,LOUISA ARNOLD,CLERMONT TRIATHLON,0 days 01:19:35,0 days 00:20:13,00:01:15,0 days 00:45:17,0 days 01:06:44,00:01:26,0 days 00:11:26,U23,,avallon,D2F,762.0,198.0,468.0,689.0,107.0,8404.188481675394,8367.683429513603,8277.511961722488,8279.22077922078,8440.233236151604,39.6,23.4,42.8,27.71,2023,,
52.,SELENE LEVEAU,RED STAR CLUB CHAMPIGNY,0 days 01:20:17,0 days 00:20:58,00:00:59,0 days 00:45:10,0 days 01:07:06,00:01:17,0 days 00:11:55,U23,,avallon,D2F,804.0,243.0,461.0,711.0,136.0,8330.911355615528,8068.362480127186,8298.892988929889,8233.97913561848,8097.902097902098,48.6,23.05,54.4,29.24,2023,,
53.,JOSEPHINE ROBINAUD,SAINTES TRIATHLON,0 days 01:21:19,0 days 00:21:00,00:01:02,0 days 00:45:42,0 days 01:07:42,00:01:22,0 days 00:12:16,,,avallon,D2F,866.0,245.0,493.0,747.0,157.0,8225.04611600738,8055.555555555556,8202.042304886943,8161.004431314624,7866.847826086957,49.0,24.65,62.8,31.49,2023,,
54.,CLEMENCE RICHARD,CAEN TRIATHLON,0 days 01:21:56,0 days 00:21:13,00:01:11,0 days 00:46:08,0 days 01:08:31,00:01:22,0 days 00:12:04,,,avallon,D2F,903.0,258.0,519.0,796.0,145.0,8163.140764849471,7973.291437549097,8125.0,8063.73145220141,7997.237569060773,51.6,25.95,58.0,32.84,2023,,
55.,LUCIE GALONS,PARIS SPORT CLUB,0 days 01:22:18,0 days 00:20:54,00:01:07,0 days 00:47:02,0 days 01:09:01,00:01:19,0 days 00:11:59,,,avallon,D2F,925.0,239.0,573.0,826.0,140.0,8126.771972458485,8094.098883572568,7969.525159461375,8005.312726394591,8052.851182197497,47.8,28.65,56.0,33.64,2023,,
56.,ZOE VELOT,MONTPELLIER TRIATHLON,0 days 01:22:23,0 days 00:21:59,00:01:02,0 days 00:45:26,0 days 01:08:27,00:01:36,0 days 00:12:22,,*,avallon,D2F,930.0,304.0,477.0,792.0,163.0,8118.551486951244,7695.223654283548,8250.183418928833,8071.585098612125,7803.234501347709,60.8,23.85,65.2,33.82,2023,,
57.,MYRIAM JEGO,METROPOLE GRAND NANCY TRIATHLON,0 days 01:22:46,0 days 00:20:53,00:03:00,0 days 00:45:10,0 days 01:09:02,00:01:32,0 days 00:12:13,,,avallon,D2F,953.0,238.0,461.0,827.0,154.0,8080.950463149416,8100.558659217877,8298.892988929889,8003.38000965717,7899.045020463847,47.6,23.05,61.6,34.65,2023,,
58.,MATHILDE GEERNAERT,BOURG EN BRESSE TRIATHLON,0 days 01:23:06,0 days 00:21:27,00:01:06,0 days 00:46:28,0 days 01:09:00,00:01:20,0 days 00:12:47,U23,,avallon,D2F,973.0,272.0,539.0,825.0,188.0,8048.53590052146,7886.557886557886,8066.714490674318,8007.246376811594,7548.891786179922,54.4,26.95,75.2,35.38,2023,,
59.,COLINE EMILE,RED STAR CLUB CHAMPIGNY,0 days 01:25:55,0 days 00:22:51,00:01:02,0 days 00:47:35,0 days 01:11:26,00:01:33,0 days 00:12:56,,,avallon,D2F,1142.0,356.0,606.0,971.0,197.0,7784.675072744908,7403.3552151714075,7877.408056042032,7734.484367708819,7461.340206185567,71.2,30.3,78.8,41.53,2023,,
60.,CHARLOTTE DENIS,SAINT AVERTIN SPORTS TRIATHLON 37,0 days 01:26:07,0 days 00:23:15,00:01:02,0 days 00:44:43,0 days 01:08:58,00:01:35,0 days 00:15:35,,,avallon,D2F,1154.0,380.0,434.0,823.0,356.0,7766.595703503,7275.985663082437,8382.407752515841,8011.116481391977,6192.513368983958,76.0,21.7,142.4,41.96,2023,,
61.,AXELLE BELLEC,PARIS SPORT CLUB,0 days 01:26:29,0 days 00:21:22,00:01:05,0 days 00:50:27,0 days 01:12:53,00:01:23,0 days 00:12:14,,,avallon,D2F,1176.0,267.0,778.0,1058.0,155.0,7733.667373289651,7917.316692667707,7429.798480343575,7580.608278069974,7888.283378746594,53.4,38.9,62.0,42.76,2023,,
62.,AURELIE VERNE,SALON TRIATHLON,0 days 01:30:28,0 days 00:23:30,00:01:43,0 days 00:48:59,0 days 01:14:10,00:02:15,0 days 00:14:03,,,avallon,D2F,1415.0,395.0,690.0,1135.0,264.0,7393.146647015475,7198.581560283687,7652.26267437904,7449.438202247191,6868.327402135232,79.0,34.5,105.6,51.45,2023,,
63.,CARLINE CHAMERLIN,BOURG EN BRESSE TRIATHLON,0 days 01:35:54,0 days 00:23:02,00:01:35,0 days 00:55:48,0 days 01:20:24,00:01:47,0 days 00:13:44,,,avallon,D2F,1741.0,367.0,1099.0,1509.0,245.0,6974.27876259993,7344.428364688856,6717.443249701314,6871.890547263682,7026.699029126214,73.4,54.95,98.0,63.31,2023,,
64.,ANGELIQUE CLEMENTZ,SALON TRIATHLON,0 days 01:37:36,0 days 00:25:10,00:01:58,0 days 00:56:15,0 days 01:23:21,00:02:14,0 days 00:12:02,,,avallon,D2F,1843.0,495.0,1126.0,1686.0,143.0,6852.8005464480875,6721.854304635762,6663.7037037037035,6628.674265146971,8019.390581717452,99.0,56.3,57.2,67.02,2023,,
1.,ARNAUD DELY,ESM GONFREVILLE L ORCHER,0 days 00:52:18,0 days 00:14:50,00:00:35,0 days 00:29:03,0 days 00:44:27,00:00:25,0 days 00:07:28,,,parthenay,D1H,0.0,0.0,59.0,8.0,0.0,10000.0,10000.0,9661.503155479058,9970.003749531308,10000.0,0.0,2.95,0.0,0.0,2023,,
2.,EMILE BLONDEL HERMANT,TEAM NOYON TRIATHLON,0 days 00:52:23,0 days 00:14:51,00:00:38,0 days 00:28:56,0 days 00:44:24,00:00:21,0 days 00:07:39,,,parthenay,D1H,5.0,1.0,52.0,5.0,11.0,9984.091632198537,9988.776655443322,9700.460829493088,9981.231231231232,9760.348583877996,0.2,2.6,4.4,0.18,2023,,
